source,total_variants,P %,LP %,VUS %,LB %,B %,Conflicting %,Expert panel %,Multiple submitters %,Single submitter %,Clinical testing %,Literature only %,Research %
APOE,300,7.8,3.1,40.5,36.1,1.4,4.4,0.3,10.3,67.7,85.6,8.7,4.8
APP,715,12.5,1.6,40.3,27.1,10.2,4.7,0.0,19.7,64.5,90.2,4.7,0.8
MAPT,672,12.2,1.8,39.3,23.1,14.2,4.8,0.0,19.5,62.6,84.7,8.0,0.4
PSEN1,640,14.4,8.1,34.7,13.5,3.7,8.2,0.0,15.6,57.2,78.9,16.8,1.7
PSEN2,407,9.9,0.8,43.4,26.5,8.2,5.4,0.0,21.6,61.4,89.8,3.2,2.1
SORL1,996,6.3,0.9,57.9,25.3,9.0,0.0,0.0,11.0,85.6,95.7,0.2,0.3
TREM2,202,9.1,5.1,39.4,31.8,1.5,6.6,0.0,17.8,68.8,89.2,5.7,0.9
